Condition,MedCodeId,Term
Schizophrenia,425511000006111.0,"[X]Schizoaffective disorder, manic type"
Schizophrenia,425571000006119.0,"[X]Schizoaffective psychosis, manic type"
Schizophrenia,425701000006119.0,"[X]Schizophreniform psychosis, manic type"
Schizophrenia,425501000006113.0,"[X]Schizoaffective disorder, depressive type"
Schizophrenia,425561000006114.0,"[X]Schizoaffective psychosis, depressive type"
Schizophrenia,425691000006119.0,"[X]Schizophreniform psychosis, depressive type"
Schizophrenia,425521000006115.0,"[X]Schizoaffective disorder, mixed type"
Schizophrenia,376251000006112.0,[X]Cyclic schizophrenia
Schizophrenia,398631000006113.0,[X]Mixed schizophrenic and affective psychosis
Schizophrenia,296095012.0,[X]Other schizoaffective disorders
Schizophrenia,296096013.0,"[X]Schizoaffective disorder, unspecified"
Schizophrenia,425551000006112.0,[X]Schizoaffective psychosis NOS
Schizophrenia,1667591000000111.0,[X]Nonorganic psychosis in remission
Schizophrenia,412201000006113.0,[X]Other nonorganic psychotic disorders
Schizophrenia,370981000006112.0,[X]Chronic hallucinatory psychosis
Schizophrenia,401862018.0,[X]Unspecified nonorganic psychosis
Schizophrenia,424231000006116.0,[X]Psychosis NOS
