Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Drug or alcohol misuse,1012911000006107,1012911000006111.0,Adverse reaction to Drugs used in Substance Dependence
Drug or alcohol misuse,968671000006102,968671000006118.0,Currently injecting drugs
Drug or alcohol misuse,637591000000102,877631000006115.0,Hypodermic drug injection
Drug or alcohol misuse,265761001,877611000006114.0,Intramuscular drug injection
Drug or alcohol misuse,1973701000006103,1973701000006119.2,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent"
Drug or alcohol misuse,1974141000006102,1974141000006118.0,"Mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]"
Drug or alcohol misuse,1976611000006102,1976611000006118.0,"Mental and behav dis due to use opioids: dependence syndr, continuous use"
Drug or alcohol misuse,968691000006101,968691000006117.0,Misuse of Cannabis herbal
Drug or alcohol misuse,968731000006109,968731000006113.0,Misuse of Cannabis herbal (skunk)
Drug or alcohol misuse,968711000006103,968711000006119.0,Misuse of Cannabis resin
Drug or alcohol misuse,968681000006104,968681000006115.0,Misuse of Cannabis unspecified
Drug or alcohol misuse,969781000006104,969781000006115.0,Misuse of Cocaine freebase (crack)
Drug or alcohol misuse,969761000006109,969761000006113.0,Misuse of Cocaine unspecified
Drug or alcohol misuse,968761000006100,968761000006116.0,Misuse of Heroin illicit
Drug or alcohol misuse,969331000006104,969331000006115.0,Misuse of Opiate compound analgesics
Drug or alcohol misuse,969261000006103,969261000006119.0,Misuse of Opiate containing mixture
Drug or alcohol misuse,969011000006108,969011000006112.0,Misuse of Opiates unspecified
Drug or alcohol misuse,969391000006100,969391000006116.0,Misuse of other Opiates
Drug or alcohol misuse,191816009,882501000006119.0,Morphine/cocaine dependence
Drug or alcohol misuse,1047881000000106,2639961000000113.0,Opioid analgesic dependence
Drug or alcohol misuse,2403008,5114014.0,Substance dependence
Drug or alcohol misuse,968631000006100,968631000006116.0,Substance misuse of Amphetamines
Drug or alcohol misuse,969401000006103,969401000006119.0,Substance misuse of Benzodiazepines
Drug or alcohol misuse,968651000006107,968651000006111.0,Substance misuse of Cannabis
Drug or alcohol misuse,969711000006106,969711000006110.0,Substance misuse of Cocaine
Drug or alcohol misuse,969741000006105,969741000006114.0,Substance misuse of Crack
Drug or alcohol misuse,969701000006108,969701000006112.0,Substance misuse of Ecstasy
Drug or alcohol misuse,968741000006104,968741000006115.0,Substance misuse of Heroin
Drug or alcohol misuse,968841000006106,968841000006110.0,Substance misuse of Methadone
Drug or alcohol misuse,969001000006105,969001000006114.0,Substance misuse of other Opiates
Drug or alcohol misuse,969991000006104,969991000006115.0,Substance misuse of other drugs
Drug or alcohol misuse,970531000006107,970531000006111.0,Substance misuse of poly drug
Drug or alcohol misuse,910581000006100,910581000006116.0,[RFC] Drug/ substance abuse
Drug or alcohol misuse,910601000006105,910601000006114.0,[RFC] Substance abuse
Drug or alcohol misuse,1110001000006103,1110001000006119.0,Adverse reaction to Buprenorphine
Drug or alcohol misuse,851461000006104,851461000006115.0,Drug misuse behaviour
Drug or alcohol misuse,852211000006108,852211000006112.0,Misused drugs in past
Drug or alcohol misuse,1854731000006104,1854731000006115.2,Seen in drug misuse clinic
Drug or alcohol misuse,415661006,2533732013.0,Substance misuse increased
Drug or alcohol misuse,415660007,2533731018.0,Substance misuse decreased
Drug or alcohol misuse,417284009,2548235012.0,Current drug user
Drug or alcohol misuse,416751004,2549278014.0,Reduced drugs misuse
Drug or alcohol misuse,228386005,2551020015.0,Subcutaneous drug user
Drug or alcohol misuse,228377000,342443012.0,Smokes drugs
Drug or alcohol misuse,228375008,342441014.0,Misuses drugs orally
Drug or alcohol misuse,416262000,2548767014.0,Continuous use of drugs
Drug or alcohol misuse,417252002,2548201014.0,Episodic use of drugs
Drug or alcohol misuse,416246006,2548750019.0,Prolonged high dose use of cannabis
Drug or alcohol misuse,416437003,2548950012.0,Preoccupied with substance misuse
Drug or alcohol misuse,417471002,2548434014.0,Persistent substance misuse
Drug or alcohol misuse,416479009,2548992019.0,Previously injecting drug user
Drug or alcohol misuse,248021000000105,406071000000119.0,Current non recreational drug user
Drug or alcohol misuse,66214007,2310431000000117.0,Substance misuse
Drug or alcohol misuse,228366006,1216143019.0,Drug misuse behaviour
Drug or alcohol misuse,361055000,477158014.0,Misuses drugs
Drug or alcohol misuse,197541000000101,297031000000117.0,Occasional drug user
Drug or alcohol misuse,228371004,342434015.0,Long-term drug misuser
Drug or alcohol misuse,228372006,342435019.0,Poly-drug misuser
Drug or alcohol misuse,228383002,342451010.0,Misuses drugs rectally
Drug or alcohol misuse,228374007,342439013.0,Notified addict
Drug or alcohol misuse,228378005,342444018.0,Smokes drugs in cigarette form
Drug or alcohol misuse,228379002,342445017.0,Smokes drugs through a pipe
Drug or alcohol misuse,228376009,342442019.0,Chases the dragon
Drug or alcohol misuse,228381000,342447013.0,Sniffs drugs
Drug or alcohol misuse,228373001,342438017.0,Drug addict
Drug or alcohol misuse,383871000000108,757341000000110.0,Health problem secondary to drug misuse
Drug or alcohol misuse,228413007,342492018.0,Age at starting drug misuse
Drug or alcohol misuse,228411009,342490014.0,Time since stopped drug misuse
Drug or alcohol misuse,44870007,494053016.0,Misused drugs in past
Drug or alcohol misuse,228391006,342468014.0,Drug injection behaviour
Drug or alcohol misuse,228386005,342455018.0,Injects drugs subcutaneously
Drug or alcohol misuse,228387001,342457014.0,Injects drugs intramuscularly
Drug or alcohol misuse,248601000000106,407241000000119.0,Neck injector
Drug or alcohol misuse,228397005,342475010.0,Shares drug equipment
Drug or alcohol misuse,228394003,342472013.0,Drug injecting equipment hygiene
Drug or alcohol misuse,228395002,342473015.0,Sharing of drug injecting equipment
Drug or alcohol misuse,228415000,342494017.0,Priority of drug-related activities
Drug or alcohol misuse,228425005,342504010.0,Routine of drug-related activities
Drug or alcohol misuse,307052004,450216018.0,Illicit drug use
Drug or alcohol misuse,202991000000100,309921000000119.0,Heroin misuse
Drug or alcohol misuse,202961000000106,309861000000116.0,Ecstasy misuse
Drug or alcohol misuse,201381000000109,2292881000000111.0,Urine methadone positive
Drug or alcohol misuse,371401000000107,2292761000000111.0,Urine buprenorphine positive
Drug or alcohol misuse,231221000000105,371621000000117.0,Delivery of rehabilitation for drug addiction
Drug or alcohol misuse,310653000,454263010.0,Drug addictn therap-methadone
