Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Chronic rheumatic heart diseases,67696008,1232959011.0,Tricuspid regurgitation - rheumatic
Chronic rheumatic heart diseases,67696008,1232958015.0,Tricuspid incompetence - rheumatic
Chronic rheumatic heart diseases,194741006,299620010.0,Rheumatic tricuspid stenosis and insufficiency
Chronic rheumatic heart diseases,12023003,20718019.0,[X]Other rheumatic aortic valve diseases
Chronic rheumatic heart diseases,639461000000104,1408401000000119.0,Rheumatic aortic valve disease NOS
Chronic rheumatic heart diseases,612101000000109,1353301000000115.0,Rheumatic tricuspid valve disease NOS
Chronic rheumatic heart diseases,83898004,505828015.0,Rheumatic mitral valve disease
Chronic rheumatic heart diseases,86466006,143386015.0,Rheumatic mitral stenosis
Chronic rheumatic heart diseases,31085000,52032016.0,Rheumatic mitral insufficiency
Chronic rheumatic heart diseases,31085000,1227426018.0,Mitral incompetence - rheumatic
Chronic rheumatic heart diseases,31085000,52030012.0,Mitral regurgitation - rheumatic
Chronic rheumatic heart diseases,12023003,20721017.0,Rheumatic aortic valve disease
Chronic rheumatic heart diseases,72011007,119660019.0,Rheumatic aortic stenosis
Chronic rheumatic heart diseases,78031003,129504017.0,Rheumatic aortic insufficiency
Chronic rheumatic heart diseases,78031003,1234202016.0,Aortic incompetence - rheumatic
Chronic rheumatic heart diseases,78031003,129502018.0,Aortic regurgitation - rheumatic
Chronic rheumatic heart diseases,17759006,30011012.0,Rheumatic aortic stenosis with insufficiency
Chronic rheumatic heart diseases,12023003,20718019.0,Rheumatic aortic valve disease NOS
Chronic rheumatic heart diseases,88318005,146419014.0,Rheumatic tricuspid stenosis
Chronic rheumatic heart diseases,67696008,1232960018.0,Rheumatic tricuspid insufficiency
Chronic rheumatic heart diseases,194741006,299619016.0,Rheumatic tricuspid stenosis and regurgitation
Chronic rheumatic heart diseases,194741006,299618012.0,Rheumatic tricuspid stenosis and incompetence
Chronic rheumatic heart diseases,49699002,82772011.0,Rheumatic tricuspid valve disease NOS
Chronic rheumatic heart diseases,18687009,31507017.0,Rheumatic pulmonary valve disease
Chronic rheumatic heart diseases,91442002,151483011.0,Rheumatic pulmonary stenosis
Chronic rheumatic heart diseases,34126003,1228148017.0,Rheumatic pulmonary insufficiency
Chronic rheumatic heart diseases,85971001,1495489016.0,Rheumatic pulmonary stenosis and insufficiency
Chronic rheumatic heart diseases,18687009,31504012.0,Rheumatic pulmonary valve disease NOS
Chronic rheumatic heart diseases,87648004,145328019.0,"Rheumatic valvulitis, chronic NOS"
