Condition,MedCode,Term
Iron deficiency anaemia,251611012,H/O: anaemia - iron deficient
Iron deficiency anaemia,507619019,Asiderotic anaemia
Iron deficiency anaemia,507621012,Sideropenic anaemia
Iron deficiency anaemia,745851000006117,Iron deficiency anaemia
Iron deficiency anaemia,745811000006118,Anaemia due to chronic blood loss
Iron deficiency anaemia,351092018,Normocytic anaemia due to chronic blood loss
Iron deficiency anaemia,745801000006116,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,293864013,Iron deficiency anaemia due to dietary causes
Iron deficiency anaemia,399195014,Iron deficiency anemia
Iron deficiency anaemia,281961000006111,Kelly - Paterson syndrome
Iron deficiency anaemia,219431000006113,Plummer - Vinson syndrome
Iron deficiency anaemia,132939019,Sideropenic dysphagia
Iron deficiency anaemia,755101000006110,Kelly-Paterson syndrome
Iron deficiency anaemia,132937017,Plummer-Vinson syndrome
Iron deficiency anaemia,293877016,Iron deficiency anemia
Iron deficiency anaemia,293880015,Unspecified iron deficiency anaemia
Iron deficiency anaemia,504528016,Achlorhydric anaemia
Iron deficiency anaemia,293884012,Chlorotic anaemia
Iron deficiency anaemia,293888010,Iron deficiency anaemia NOS
Iron deficiency anaemia,294567019,[X]Other iron deficiency anaemias
