Condition,MedCode,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663377018,"Hodgkin lymphoma, lymphocyte-rich"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289626018,Hodgkin's paragranuloma of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826901000006119,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",12455831000006116,"[m]hodgkin's disease, nodular sclerosis nos"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2730231000006116,hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2730241000006114,hodgkin's disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926831000006112,hodgkin's disease nos of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926851000006116,hodgkin's disease nos of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926861000006120,hodgkin's disease nos of lymph nodes inguinal region and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926871000006114,hodgkin's disease nos of lymph nodes of axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926881000006112,"hodgkin's disease nos of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926891000006110,hodgkin's disease nos of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926901000006114,hodgkin's disease nos of spleen
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",4213441000006111,"hodgkin's disease, lymphocytic depletion"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",3169171000006110,"hodgkin's disease, mixed cellularity"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",3706151000006119,hodgkin's granuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",12704881000006116,hodgkin's paragranuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",3258391000006114,hodgkin's sarcoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926921000006116,"hodgkin's, lymphocytic-histiocytic predominance unspec site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663473018,Hodgkin's disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815031000006110,Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826681000006115,Hodgkin's paragranuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826751000006118,"Hodgkin's paragranuloma of lymph nodes of head, face, neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289621011,Hodgkin's paragranuloma of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663476014,Hodgkin's granuloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289629013,"Hodgkin's granuloma of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663376010,Hodgkin's sarcoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289643015,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826261000006110,"Hodgkin's disease, lymphocytic-histiocytic predominance"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826991000006114,"Hodgkin's, lymphocytic-histiocytic predominance unspec site"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826951000006115,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826941000006117,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826921000006112,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826911000006116,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826931000006110,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289657018,"Hodgkin's, lymphocytic-histiocytic predominance of spleen"
